,Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,date
0,1974,12,9,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,2,USIS Center,Undefined,Government (Diplomatic),Explosives,2,1974-12-09
1,1975,1,1,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,0,Pakistan Airlines Boeing 707,Undefined,Airports & Aircraft,Explosives,0,1975-01-01
2,1975,2,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,1,0,"Hayat Mohammed Khan Sherpao, home minister",National Awami Party,Government (General),Firearms,1,1975-02-08
3,1976,10,11,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,2,Syrian Embassy,Abu Nidal Organization (ANO),Government (Diplomatic),Firearms,3,1976-10-11
4,1978,8,5,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,4,0,Palestine Liberation Org. office,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Firearms,4,1978-08-05
5,1979,6,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Unarmed Assault,0,2,Embassy card,Undefined,Government (Diplomatic),Melee,2,1979-06-26
6,1980,5,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,17,18,Police station,Kabul Government Agents,Police,Explosives,35,1980-05-08
7,1981,9,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Assassination,2,2,Chaudly Yahur Elahi and unk (former minister and drived of vehicle),Al-Zulfikar,Government (General),Firearms,4,1981-09-25
8,1982,8,2,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,8,Lahore Airport,Al-Zulfikar,Airports & Aircraft,Explosives,8,1982-08-02
9,1983,2,19,Pakistan,Punjab,South Asia, ,31.090612,72.35952,Bombing/Explosion,0,0,Home of honorary French consul,Undefined,Government (Diplomatic),Explosives,0,1983-02-19
10,1983,7,6,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,8,8,Police van loaded with prisoners,Undefined,Police,Undefined,16,1983-07-06
11,1983,8,14,Pakistan,Sindh,South Asia,Dadu,26.72357,67.769319,Bombing/Explosion,0,1,Office of the support Zia Movement,Undefined,Police,Explosives,1,1983-08-14
12,1983,9,14,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,0,In a toilet of city (near a cinema),Al-Zulfikar,Private Citizens & Property,Explosives,0,1983-09-14
13,1983,10,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,17,Bhatigate Chowk (always crowded),Undefined,Private Citizens & Property,Explosives,19,1983-10-25
14,1984,7,28,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,6,20,Headquarters of Afghan rebel group,Undefined,Terrorists/Non-State Militia,Explosives,26,1984-07-28
15,1984,7,28,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,6,29,Undefined,Undefined,Private Citizens & Property,Explosives,35,1984-07-28
16,1986,3,27,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,17,Afghan refugee hostel (Nasir Hotel),Undefined,Business,Explosives,21,1986-03-27
17,1986,4,20,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,0,Airline ticket office (BA),Undefined,Airports & Aircraft,Explosives,0,1986-04-20
18,1986,5,6,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,2,House,Undefined,Private Citizens & Property,Explosives,4,1986-05-06
19,1986,5,30,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,7,Home,Undefined,Private Citizens & Property,Explosives,7,1986-05-30
20,1986,6,7,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,5,40,Jissa Khawani Bazaar,Undefined,Private Citizens & Property,Explosives,45,1986-06-07
21,1986,6,15,Pakistan,North-West Frontier Province,South Asia,Pabbi,34.011395,71.798103,Bombing/Explosion,1,35,Khyber Mail express train,Undefined,Transportation,Explosives,36,1986-06-15
22,1986,6,16,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,3,25,Movie House,Undefined,Business,Explosives,28,1986-06-16
23,1986,6,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,22,Hotel,Undefined,Business,Explosives,22,1986-06-22
24,1986,7,27,Pakistan,Federally Administered Tribal Areas,South Asia,Kurram district,33.695975,70.336069,Bombing/Explosion,6,3,pick-up truck carrying Afghan refugees,Undefined,Private Citizens & Property,Explosives,9,1986-07-27
25,1986,9,24,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Assassination,0,1,Capital airport,Undefined,Airports & Aircraft,Firearms,1,1986-09-24
26,1987,2,1,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Facility/Infrastructure Attack,0,0,Gas Pipeline 15 mi from city,Pro-Kabul Provocateurs,Utilities,Explosives,0,1987-02-01
27,1987,2,6,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Undefined,1,27,Quetta Hotel,Undefined,Business,Undefined,28,1987-02-06
28,1987,2,19,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,9,61,Truck,Undefined,Private Citizens & Property,Explosives,70,1987-02-19
29,1987,3,23,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,9,100,Allama Ihsan Elahi Zaheer,Undefined,Government (General),Explosives,109,1987-03-23
30,1987,4,9,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,8,40,Kashmiri Bazaar,Undefined,Private Citizens & Property,Explosives,48,1987-04-09
31,1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,0,0,Afghan Refugee Office,Undefined,Government (General),Explosives,0,1987-05-04
32,1987,5,4,Pakistan,Federally Administered Tribal Areas,South Asia,Miran Shah,33.006516,70.068253,Bombing/Explosion,7,11,Mosque,Undefined,Religious Figures/Institutions,Explosives,18,1987-05-04
33,1987,5,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,7,32,Bus Terminal,Undefined,Transportation,Explosives,39,1987-05-14
34,1987,5,22,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,11,Bus Station,Undefined,Transportation,Explosives,11,1987-05-22
35,1987,6,2,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,27,Raja Bazaar,Undefined,Private Citizens & Property,Explosives,27,1987-06-02
36,1987,6,14,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,0,US Aid Office,Undefined,Government (Diplomatic),Explosives,0,1987-06-14
37,1987,6,21,Pakistan,Khyber Pakhtunkhwa,South Asia,Swat district,35.481293,72.524259,Assassination,1,0,Prov. Legislator,Undefined,Government (General),Firearms,1,1987-06-21
38,1987,7,4,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,5,Hotel,Undefined,Business,Explosives,6,1987-07-04
39,1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,50,Train Station,Undefined,Transportation,Explosives,55,1987-07-05
40,1987,7,5,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,5,0,Bus Station,Undefined,Transportation,Explosives,5,1987-07-05
41,1987,8,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,36,Tea Stand,Undefined,Business,Explosives,38,1987-08-08
42,1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,10,0,Shopping Area,Undefined,Private Citizens & Property,Explosives,10,1987-08-10
43,1987,8,10,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,5,35,Bus Station,Undefined,Transportation,Explosives,40,1987-08-10
44,1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,0,0,Sports Stadium,Undefined,Private Citizens & Property,Explosives,0,1987-08-11
45,1987,8,11,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,7,45,Bus Station,Undefined,Transportation,Explosives,52,1987-08-11
46,1987,8,14,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,13,Shopping Area,Undefined,Private Citizens & Property,Explosives,15,1987-08-14
47,1987,8,26,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,1,6,Bus Station,Undefined,Transportation,Explosives,7,1987-08-26
48,1987,9,10,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,25,Fruit Market,Undefined,Business,Explosives,27,1987-09-10
49,1987,9,10,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,10,Street,Undefined,Private Citizens & Property,Explosives,10,1987-09-10
50,1987,9,18,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,5,16,Bus Station,Undefined,Transportation,Explosives,21,1987-09-18
51,1987,10,12,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,13,Bus Station,Undefined,Transportation,Explosives,13,1987-10-12
52,1987,11,1,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,1,1,Hotel,Undefined,Business,Explosives,2,1987-11-01
53,1987,11,18,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,1,19,Bus,Undefined,Transportation,Explosives,20,1987-11-18
54,1987,11,22,Pakistan,Balochistan,South Asia, ,28.312161,65.663892,Bombing/Explosion,2,16,Railway Station,Undefined,Transportation,Explosives,18,1987-11-22
55,1987,11,29,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0,3,Polling Booth,Undefined,Government (General),Explosives,3,1987-11-29
56,1987,12,22,Pakistan,North-West Frontier Province,South Asia,Chamkani,34.005901,71.648872,Bombing/Explosion,0,0,Rail Line,Undefined,Transportation,Explosives,0,1987-12-22
57,1987,12,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,40,Shalimar-8 Market,Undefined,Business,Explosives,41,1987-12-26
58,1988,1,26,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,9,27,Bus,Undefined,Transportation,Explosives,36,1988-01-26
59,1988,2,22,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,11,0,Hotel,Undefined,Business,Explosives,11,1988-02-22
60,1988,2,27,Pakistan,North-West Frontier Province,South Asia,Thal,33.363258,70.547846,Bombing/Explosion,5,11,Bazaar,Undefined,Private Citizens & Property,Explosives,16,1988-02-27
61,1988,3,12,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Hijacking,0,1,Aircraft (airbus a-300),Undefined,Airports & Aircraft,Firearms,1,1988-03-12
62,1988,3,25,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,8,Koh Gadai Bus Station,Undefined,Transportation,Explosives,8,1988-03-25
63,1988,3,30,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,7,15,Bazaar,Undefined,Private Citizens & Property,Explosives,22,1988-03-30
64,1988,4,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,3,Train,Undefined,Transportation,Explosives,5,1988-04-11
65,1988,4,16,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,4,11,Bus Station,Undefined,Transportation,Explosives,15,1988-04-16
66,1988,5,2,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,9,Marketplace,Undefined,Private Citizens & Property,Explosives,9,1988-05-02
67,1988,5,5,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Assassination,2,0,2 children,Undefined,Private Citizens & Property,Explosives,2,1988-05-05
68,1988,5,10,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,8,Railway Crossing,Undefined,Transportation,Explosives,8,1988-05-10
69,1988,6,25,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,13,4,Prince Hotel,Undefined,Business,Explosives,17,1988-06-25
70,1988,8,16,Pakistan,North-West Frontier Province,South Asia,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,4,0,Street,Undefined,Private Citizens & Property,Explosives,4,1988-08-16
71,1988,8,17,Pakistan,Punjab,South Asia,Bahawalpur,29.395681,71.676924,Assassination,37,0,President Zia,Undefined,Military,Undefined,37,1988-08-17
72,1988,8,30,Pakistan,Punjab,South Asia,Attock,33.766336,72.357344,Bombing/Explosion,3,13,Khyber Mail Train,Undefined,Transportation,Explosives,16,1988-08-30
73,1988,10,18,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,3,18,Town Bazaar,Undefined,Private Citizens & Property,Explosives,21,1988-10-18
74,1988,10,18,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,7,25,Hotel,Undefined,Business,Explosives,32,1988-10-18
75,1988,10,23,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,0,8,Aabpara Bus Terminal,Undefined,Transportation,Explosives,8,1988-10-23
76,1988,10,26,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,1,14,Marketplace,Undefined,Private Citizens & Property,Explosives,15,1988-10-26
77,1988,11,15,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,0,Shopping Area,Undefined,Private Citizens & Property,Explosives,1,1988-11-15
78,1989,1,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,14,charsada bus station,Khalistan Commando Force,Transportation,Explosives,18,1989-01-11
79,1989,2,5,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,3,5,Bus Station,Undefined,Transportation,Explosives,8,1989-02-05
80,1989,5,11,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,1,Room in Karachi Hotel,Undefined,Business,Explosives,2,1989-05-11
81,1989,6,9,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,16,Video Store in Kachakhani bazzaar,Undefined,Business,Explosives,16,1989-06-09
82,1989,7,4,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,9,34,Bus,Undefined,Transportation,Explosives,43,1989-07-04
83,1989,7,17,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,6,Loco Colony (Housing Area),Undefined,Transportation,Explosives,6,1989-07-17
84,1989,8,6,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,30,Sadar area,Undefined,Private Citizens & Property,Explosives,30,1989-08-06
85,1989,8,6,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,26,New Vegeatable market,Undefined,Private Citizens & Property,Explosives,30,1989-08-06
86,1989,9,13,Pakistan,North-West Frontier Province,South Asia,Shabqadar,34.217285,71.561043,Bombing/Explosion,5,22,Restaurant,Undefined,Business,Explosives,27,1989-09-13
87,1989,9,14,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,8,27,Chemical Store,Undefined,Business,Explosives,35,1989-09-14
88,1989,9,26,Pakistan,North-West Frontier Province,South Asia,Hayatabad,33.976307,71.437157,Bombing/Explosion,0,5,Khyber Park,Undefined,Private Citizens & Property,Explosives,5,1989-09-26
89,1989,11,2,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Assassination,1,0,Policeman,Undefined,Police,Firearms,1,1989-11-02
90,1989,12,19,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Assassination,1,0,Vice Chairman Municipal Council Ziauddin Isran,Undefined,Government (General),Firearms,1,1989-12-19
91,1990,1,18,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Assassination,2,0,Leaders,Undefined,Violent Political Party,Firearms,2,1990-01-18
92,1990,2,24,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Armed Assault,1,8,Market,Undefined,Private Citizens & Property,Firearms,9,1990-02-24
93,1990,3,25,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,6,0,Leaders,Undefined,Terrorists/Non-State Militia,Firearms,6,1990-03-25
94,1990,4,18,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Bombing/Explosion,3,28,van carrying schoolboys,Undefined,Educational Institution,Explosives,31,1990-04-18
95,1990,5,6,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,15,50,express train,Undefined,Transportation,Explosives,65,1990-05-06
96,1990,5,31,Pakistan,Sindh,South Asia,Khairpur,27.528896,68.759819,Assassination,0,0,Journalist Rahat Hussain Kazmi,Undefined,Journalists & Media,Firearms,0,1990-05-31
97,1990,6,2,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Assassination,2,0,Ahmad Khan Kamal/Muthair Hussain Naqvi,Undefined,Journalists & Media,Firearms,2,1990-06-02
98,1990,6,22,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Assassination,3,2,"Minister w/o Portfolio Haji Eid Mohammed Murtazi, last name also spelled*",Undefined,Government (General),Firearms,5,1990-06-22
99,1990,7,15,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,12,0,harachi express,Undefined,Transportation,Explosives,12,1990-07-15
100,1990,8,30,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,8,14,express tarin,Undefined,Transportation,Explosives,22,1990-08-30
101,1990,8,30,Pakistan,Punjab,South Asia,Faisalabad,31.408822,73.083021,Bombing/Explosion,3,26,dhaula Bazar,Undefined,Private Citizens & Property,Explosives,29,1990-08-30
102,1990,9,26,Pakistan,Punjab,South Asia,Sialkot,32.493537,74.530343,Bombing/Explosion,7,14,minibus,Undefined,Transportation,Explosives,21,1990-09-26
103,1990,11,19,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,14,tea shop,Undefined,Business,Explosives,14,1990-11-19
104,1990,12,19,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Assassination,1,0,Director General Ardeshir Sadegh Ganji,Sipah-e-Sahaba/Pakistan (SSP),Government (General),Firearms,1,1990-12-19
105,1991,1,9,Pakistan,Punjab,South Asia, ,31.090612,72.35952,Assassination,1,0,Son-in-law of candidate,Undefined,Government (General),Firearms,1,1991-01-09
106,1991,1,10,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Assassination,1,0,"Member, Maulana Esarul Qasmi *",Undefined,Government (General),Firearms,1,1991-01-10
107,1991,1,19,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,4,40,movie theater,Undefined,Business,Explosives,44,1991-01-19
108,1991,2,4,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Armed Assault,2,1,unit,Undefined,Police,Firearms,3,1991-02-04
109,1991,2,6,Pakistan,Punjab,South Asia,Sialkot,32.493537,74.530343,Bombing/Explosion,3,30,Mini-bus,Undefined,Transportation,Explosives,33,1991-02-06
110,1991,2,15,Pakistan,Balochistan,South Asia,Dalbandin,28.893738,64.405846,Bombing/Explosion,7,12,Market (located near a Petrol dump),Undefined,Private Citizens & Property,Explosives,19,1991-02-15
111,1991,2,19,Pakistan,Punjab,South Asia,Gujrat,32.572323,74.076622,Bombing/Explosion,3,5,Cart for taking passengers to bus station,Undefined,Transportation,Explosives,8,1991-02-19
112,1991,2,20,Pakistan,Punjab,South Asia,Gujrat,32.572323,74.076622,Bombing/Explosion,3,6,mission school,Undefined,Educational Institution,Explosives,9,1991-02-20
113,1991,2,25,Pakistan,Balochistan,South Asia,Dalbandin,28.893738,64.405846,Bombing/Explosion,0,0,3 government trucks,Undefined,Government (General),Explosives,0,1991-02-25
114,1991,3,17,Pakistan,Sindh,South Asia, ,26.172116,68.835918,Hostage Taking (Kidnapping),5,0,3 Japanese Students on Rafting Trip,Dacoits,Private Citizens & Property,Firearms,5,1991-03-17
115,1991,4,10,Pakistan,Sindh,South Asia,Khairpur,27.528896,68.759819,Hostage Taking (Kidnapping),2,0,Peter Scorbert,Dacoits,Business,Firearms,2,1991-04-10
116,1991,5,10,Pakistan,Sindh,South Asia,Nawabshah,26.241957,68.399292,Armed Assault,2,7,Train,Undefined,Transportation,Firearms,9,1991-05-10
117,1991,5,19,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Armed Assault,3,16,Market tower Market,Undefined,Private Citizens & Property,Firearms,19,1991-05-19
118,1991,6,5,Pakistan,Sindh,South Asia,Nawabshah,26.241957,68.399292,Armed Assault,7,0,Unit,Dacoits,Police,Firearms,7,1991-06-05
119,1991,6,18,Pakistan,Federally Administered Tribal Areas,South Asia,Landi Kotal,34.110325,71.163803,Bombing/Explosion,8,18,Restaurant in Hotel,Undefined,Business,Explosives,26,1991-06-18
120,1991,6,29,Pakistan,Azad Kashmir,South Asia,Muzaffarabad,34.35946,73.468877,Assassination,0,0,President Sardar Abdul Qayyum,Undefined,Government (General),Explosives,0,1991-06-29
121,1991,6,29,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Armed Assault,5,0,Unit,Dacoits,Police,Firearms,5,1991-06-29
122,1991,7,11,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,10,Bus,Undefined,Transportation,Explosives,10,1991-07-11
123,1991,7,23,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,4,Shi'ite gathering,Undefined,Private Citizens & Property,Explosives,4,1991-07-23
124,1991,7,25,Pakistan,Punjab,South Asia, ,31.090612,72.35952,Bombing/Explosion,1,8,Bazaar,Undefined,Private Citizens & Property,Explosives,9,1991-07-25
125,1991,8,20,Pakistan,Federally Administered Tribal Areas,South Asia,Parachinar,33.897995,70.107536,Bombing/Explosion,4,20,Shig Moslem Procession,Undefined,Religious Figures/Institutions,Firearms,24,1991-08-20
126,1991,8,22,Pakistan,North-West Frontier Province,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,1,10,Bazaar,Undefined,Private Citizens & Property,Explosives,11,1991-08-22
127,1991,9,1,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,2,9,city market,Undefined,Private Citizens & Property,Explosives,11,1991-09-01
128,1991,9,1,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,0,0,Bookshop,Undefined,Business,Explosives,0,1991-09-01
129,1991,9,6,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,1,"home, local leader",Undefined,Private Citizens & Property,Explosives,1,1991-09-06
130,1991,9,7,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Assassination,5,0,5 sunni moslem scholars *,Undefined,Religious Figures/Institutions,Firearms,5,1991-09-07
131,1991,9,10,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,0,13,Shi'ite Moslem Mosque,Undefined,Religious Figures/Institutions,Explosives,13,1991-09-10
132,1991,9,29,Pakistan,Gilgit-Baltistan,South Asia,Gilgit,35.918091,74.289803,Hostage Taking (Kidnapping),0,0,Dr. Ingrid Reuder,Undefined,Private Citizens & Property,Undefined,0,1991-09-29
133,1991,9,30,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.856902,71.429936,Assassination,2,0,Leader Maulvi Jamilur Rehman,Hizb-I-Islami,Terrorists/Non-State Militia,Firearms,2,1991-09-30
134,1991,10,11,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Armed Assault,2,2,Central Office,Undefined,Government (General),Firearms,4,1991-10-11
135,1991,10,27,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Bombing/Explosion,0,11,Student Group,Undefined,Private Citizens & Property,Explosives,11,1991-10-27
136,1991,11,1,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,1,1,Railway Station,Undefined,Transportation,Explosives,2,1991-11-01
137,1991,11,4,Pakistan,Punjab,South Asia,Gujranwala,32.156489,74.187658,Bombing/Explosion,2,15,Minibus,Undefined,Transportation,Explosives,17,1991-11-04
138,1991,11,19,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,5,5,10 Member Patrol,Undefined,Police,Firearms,10,1991-11-19
139,1991,11,29,Pakistan,North-West Frontier Province,South Asia,Pabbi,34.011395,71.798103,Bombing/Explosion,1,2,group of persons,Undefined,Undefined,Explosives,3,1991-11-29
140,1991,11,30,Pakistan,North-West Frontier Province,South Asia,Swat district,34.767228,72.376782,Undefined,5,8,Pickup Truck,Undefined,Private Citizens & Property,Undefined,13,1991-11-30
141,1991,12,9,Pakistan,North-West Frontier Province,South Asia,Buner district,34.396497,72.615832,Assassination,0,1,"Donald Mackay, Project Employee *",Undefined,Government (Diplomatic),Firearms,1,1991-12-09
142,1991,12,27,Pakistan,Punjab,South Asia,Jhang,31.276847,72.32133,Bombing/Explosion,3,11,Sunni Moslem Mosque,Shia Muslim extremists,Religious Figures/Institutions,Explosives,14,1991-12-27
143,1992,1,18,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,1,8,market,Undefined,Private Citizens & Property,Explosives,9,1992-01-18
144,1992,1,20,Pakistan,Sindh,South Asia,Jamshoro,25.416302,68.286728,Bombing/Explosion,0,0,line,Undefined,Transportation,Explosives,0,1992-01-20
145,1992,3,3,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Armed Assault,0,0,Village of Hamzo Bhatti,Undefined,Private Citizens & Property,Firearms,0,1992-03-03
146,1992,3,7,Pakistan,Balochistan,South Asia, ,28.312161,65.663892,Armed Assault,2,0,unit,Political Group,Government (General),Firearms,2,1992-03-07
147,1992,3,12,Pakistan,Sindh,South Asia,Larkana,27.560076,68.215714,Armed Assault,13,0,vehicle,Undefined,Police,Firearms,13,1992-03-12
148,1992,3,13,Pakistan,Sindh,South Asia,Hyderabad,25.389288,68.357338,Bombing/Explosion,0,3,express train,Undefined,Transportation,Explosives,3,1992-03-13
149,1992,3,21,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,2,0,Post,Undefined,Police,Firearms,2,1992-03-21
150,1992,3,24,Pakistan,Sindh,South Asia, ,26.172116,68.835918,Armed Assault,3,0,Unit,Undefined,Police,Firearms,3,1992-03-24
