,Date,CPI,CPI: Food and Nonalcoholic Beverages,inflat_m_gral,inflat_a_gral,inflat_m_food,inflat_a_food
0,2004-01,33.87,,,,,
1,2004-02,33.75,,-0.003542958370239102,,,
2,2004-03,34.1,,0.010370370370370363,,,
3,2004-04,34.42,,0.009384164222873803,,,
4,2004-05,34.66,,0.006972690296339179,,,
5,2004-06,35.05,,0.011252163877668808,,,
6,2004-07,35.53,,0.013694721825963097,,,
7,2004-08,35.74,,0.005910498170560219,,,
8,2004-09,35.87,,0.0036373810856182853,,,
9,2004-10,36.3,,0.011987733482018426,,,
10,2004-11,36.71,,0.011294765840220489,,,
11,2004-12,36.39,,-0.00871697085262868,,,
12,2005-01,36.75,,0.009892827699917506,0.08503100088573978,,
13,2005-02,37.11,,0.009795918367346834,0.09955555555555562,,
14,2005-03,37.59,,0.012934518997574918,0.10234604105571843,,
15,2005-04,38.24,,0.01729183293429104,0.11098198721673436,,
16,2005-05,38.08,,-0.004184100418410108,0.09867282169648006,,
17,2005-06,38.11,,0.0007878151260505284,0.08730385164051357,,
18,2005-07,38.73,,0.016268695880346407,0.0900647340275822,,
19,2005-08,38.74,,0.000258197779499314,0.08393956351426968,,
20,2005-09,38.93,,0.0049044914816727125,0.08530805687203791,,
21,2005-10,39.3,,0.009504238376573326,0.0826446280991735,,
22,2005-11,39.6,,0.007633587786259666,0.07872514301280309,,
23,2005-12,39.49,,-0.002777777777777768,0.08518823852706792,,
24,2006-01,39.97,,0.012154975943276636,0.08761904761904749,,
25,2006-02,40.1,,0.0032524393294972587,0.08057127458905966,,
26,2006-03,40.19,,0.0022443890274312928,0.06916733173716394,,
27,2006-04,40.6,,0.010201542672306552,0.061715481171548126,,
28,2006-05,40.78,,0.004433497536945774,0.07090336134453779,,
29,2006-06,41.02,,0.005885237861696924,0.07635791130936775,,
30,2006-07,41.68,,0.016089712335445983,0.07616834495223346,,
31,2006-08,42.2,,0.0124760076775432,0.08931337119256577,,
32,2006-09,42.34,,0.0033175355450236754,0.08759311584895979,,
33,2006-10,42.49,,0.003542749173358395,0.08117048346056,,
34,2006-11,42.8,,0.007295834313956195,0.08080808080808066,,
35,2006-12,43.0,,0.004672897196261738,0.08888326158521132,,
36,2007-01,42.62,,-0.008837209302325677,0.06629972479359525,,
37,2007-02,43.06,,0.010323791647114167,0.07381546134663353,,
38,2007-03,43.27,,0.0048769159312587185,0.07663597909927855,,
39,2007-04,43.41,,0.003235498035590423,0.0692118226600984,,
40,2007-05,43.81,,0.009214466712739178,0.07430112800392341,,
41,2007-06,43.9,,0.002054325496462006,0.07020965382740108,,
42,2007-07,44.34,,0.010022779043280305,0.06381957773512492,,
43,2007-08,44.93,,0.01330626973387461,0.064691943127962,,
44,2007-09,45.88,,0.02114400178054754,0.08360888049126114,,
45,2007-10,46.44,,0.012205754141237923,0.09296305012944206,,
46,2007-11,46.51,,0.0015073212747631626,0.08668224299065419,,
47,2007-12,46.78,,0.005805203182111418,0.08790697674418602,,
48,2008-01,47.67,,0.019025224454895184,0.11848897231346789,,
49,2008-02,47.9,,0.004824837423956341,0.11240130051091501,,
50,2008-03,49.38,,0.030897703549060518,0.14120637855327023,,
51,2008-04,50.88,,0.03037667071688932,0.17208016586040098,,
52,2008-05,52.25,,0.02692610062893075,0.1926500798904358,,
53,2008-06,53.35,,0.021052631578947434,0.21526195899772227,,
54,2008-07,55.13,54.17,0.03336457357075906,0.24334686513306258,,
55,2008-08,56.09,55.62,0.01741338654090341,0.24838637881148462,0.026767583533320982,
56,2008-09,56.54,56.32,0.00802282046710645,0.23234524847428073,0.012585400934915558,
57,2008-10,57.33,58.02,0.013972408914043166,0.23449612403100772,0.03018465909090917,
58,2008-11,57.14,56.74,-0.003314146171289001,0.22855299935497753,-0.02206135815236132,
59,2008-12,57.01,56.08,-0.0022751137556877854,0.21868319794784097,-0.011632005639760412,
60,2009-01,57.14,54.92,0.002280301701455878,0.19865743654289902,-0.02068473609129806,
61,2009-02,57.93,56.42,0.013825691284564234,0.2093945720250523,0.027312454479242465,
62,2009-03,58.14,56.91,0.0036250647332989328,0.17739975698663413,0.008684863523573005,
63,2009-04,58.72,57.77,0.009975920192638377,0.15408805031446526,0.015111579687225651,
64,2009-05,58.68,57.48,-0.0006811989100817817,0.12306220095693776,-0.005019906525878581,
65,2009-06,59.19,58.14,0.008691206543967267,0.1094657919400186,0.011482254697286143,
66,2009-07,60.09,60.03,0.015205271160669165,0.08996916379466713,0.03250773993808043,0.1081779582794904
67,2009-08,61.18,61.89,0.018139457480445875,0.09074701372793714,0.03098450774612682,0.11272923408845736
68,2009-09,61.28,61.99,0.001634521085321916,0.083834453484259,0.0016157699143641846,0.10067471590909083
69,2009-10,61.65,62.34,0.006037859007832935,0.07535321821036112,0.005646071947088327,0.07445708376421933
70,2009-11,62.46,63.7,0.013138686131386912,0.09310465523276168,0.021815848572345198,0.12266478674656334
71,2009-12,62.01,62.17,-0.007204610951008661,0.08770391159445712,-0.024018838304552648,0.10859486447931532
72,2010-01,63.61,63.4,0.025802289953233304,0.1132306615330767,0.019784461959144295,0.15440640932265115
73,2010-02,63.85,63.6,0.003772991667976733,0.10219230105299504,0.003154574132492094,0.12725983693725618
74,2010-03,64.65,64.83,0.012529365700861383,0.11197110423116619,0.019339622641509457,0.13916710595677384
75,2010-04,65.83,66.52,0.01825212683681343,0.1210831062670299,0.026068178312509627,0.15146269690150582
76,2010-05,65.92,66.73,0.0013671578307763443,0.12338104976141784,0.0031569452796151865,0.16092553931802378
77,2010-06,66.16,67.11,0.003640776699028958,0.11775637776651471,0.005694590139367461,0.15428276573787403
78,2010-07,67.53,68.37,0.020707376058041183,0.12381427858212679,0.018775145283862482,0.13893053473263373
79,2010-08,69.0,71.97,0.0217681030653043,0.1278195488721805,0.052654673102237703,0.16286960736791078
80,2010-09,70.41,75.52,0.02043478260869569,0.14898825065274135,0.04932610810059734,0.21826100984029662
81,2010-10,71.1,75.4,0.009799744354495044,0.15328467153284664,-0.0015889830508473146,0.20949631055502094
82,2010-11,71.8,76.65,0.009845288326300938,0.14953570284982387,0.01657824933687002,0.20329670329670324
83,2010-12,71.59,75.16,-0.0029247910863509086,0.15449121109498476,-0.01943900848010449,0.20894322020266998
84,2011-01,72.46,76.49,0.012152535270288922,0.1391290677566419,0.01769558275678551,0.2064668769716087
85,2011-02,72.05,75.02,-0.005658294231299932,0.12842599843382918,-0.01921819845731465,0.17955974842767297
86,2011-03,73.07,76.72,0.014156835530881207,0.13023975251353415,0.022660623833644422,0.1834027456424494
87,2011-04,74.09,77.76,0.013959217188997064,0.1254747075801308,0.01355578727841511,0.16897173782321118
88,2011-05,74.25,77.5,0.002159535699824522,0.1263652912621358,-0.003343621399176988,0.16139667316049744
89,2011-06,74.96,77.9,0.00956228956228955,0.1330108827085852,0.005161290322580614,0.1607808076292654
90,2011-07,75.92,80.26,0.012806830309498585,0.12424107803938989,0.030295250320924172,0.17390668421822442
91,2011-08,76.98,81.48,0.013962065331928342,0.11565217391304361,0.015200598056317016,0.13213839099624858
92,2011-09,77.77,82.83,0.010262405819693399,0.10453060644794765,0.016568483063328365,0.09679555084745761
93,2011-10,78.89,84.26,0.014401440144014455,0.10956399437412112,0.01726427622841964,0.11750663129973482
94,2011-11,79.12,84.33,0.00291545189504383,0.10194986072423418,0.0008307619273675293,0.10019569471624257
95,2011-12,78.57,82.32,-0.0069514661274016065,0.0974996507892163,-0.023834934187122125,0.09526343799893566
96,2012-01,79.77,83.61,0.015273004963726633,0.10088324592878828,0.015670553935860143,0.0930840632762453
97,2012-02,80.01,82.96,0.0030086498683716822,0.11047883414295634,-0.007774189690228472,0.10583844308184487
98,2012-03,80.95,84.24,0.011748531433570797,0.10784179553852491,0.015429122468659573,0.09801876955161615
99,2012-04,82.43,86.08,0.01828289067325506,0.11256579835335412,0.021842355175688555,0.10699588477366251
100,2012-05,83.38,86.21,0.011524930243843157,0.12296296296296294,0.0015102230483270418,0.11238709677419356
101,2012-06,83.41,85.65,0.000359798512832743,0.11272678762006416,-0.006495766152418425,0.09948652118100121
102,2012-07,83.2,87.26,-0.0025176837309673905,0.09589041095890405,0.018797431406888387,0.0872165462247696
103,2012-08,83.95,88.11,0.009014423076923128,0.0905429981813457,0.009741003896401423,0.08136966126656842
104,2012-09,84.61,88.74,0.00786182251340084,0.0879516523080881,0.007150153217568844,0.07135095979717487
105,2012-10,84.94,88.63,0.003900248197612477,0.07668906071745463,-0.0012395762902862595,0.05186328032281029
106,2012-11,84.6,88.3,-0.0040028255238993005,0.06926188068756312,-0.0037233442400992356,0.047076959563619125
107,2012-12,84.8,88.24,0.0023640661938535423,0.07929235077001406,-0.0006795016987543034,0.07191448007774537
108,2013-01,86.21,89.98,0.01662735849056607,0.08073210480130366,0.019718948322756225,0.07618705896423883
109,2013-02,85.92,88.69,-0.003363878900359496,0.07386576677915246,-0.014336519226494815,0.06906943105110908
110,2013-03,86.27,89.18,0.004073556797020483,0.06571957998764666,0.005524861878453136,0.058641975308642014
111,2013-04,87.21,90.49,0.010896024110351288,0.05798859638481124,0.014689392240412547,0.051231412639405116
112,2013-05,87.66,91.58,0.005159958720330371,0.05133125449748133,0.01204552989280594,0.062289757568727566
113,2013-06,88.29,92.54,0.007186858316221789,0.058506174319626014,0.010482638130596245,0.08044366608289555
114,2013-07,90.08,95.06,0.02027409672669611,0.08269230769230762,0.027231467473525006,0.08938803575521437
115,2013-08,91.12,97.03,0.011545293072824148,0.08540798094103641,0.02072375341889332,0.10123709000113501
116,2013-09,90.86,95.37,-0.0028533801580333806,0.07386833707599583,-0.01710811089353803,0.0747126436781611
117,2013-10,92.65,97.07,0.019700638344706256,0.09076995526253828,0.017825311942958777,0.09522734965587265
118,2013-11,93.82,99.77,0.012628170534268568,0.10898345153664302,0.027814978881219865,0.12989807474518678
119,2013-12,92.58,96.09,-0.013216798124067286,0.09174528301886786,-0.03688483512077767,0.08896192203082509
120,2014-01,93.03,95.99,0.0048606610499029035,0.0791091520705256,-0.001040691018836637,0.06679262058235147
121,2014-02,92.74,94.94,-0.0031172739976352837,0.07937616387337054,-0.010938639441608444,0.07047017702108471
122,2014-03,93.63,97.06,0.009596722018546444,0.08531355048104783,0.02232989256372453,0.08836061897286385
123,2014-04,95.22,99.11,0.016981736622877275,0.09184726522187825,0.021120956109622835,0.09525914465686824
124,2014-05,94.97,97.79,-0.0026254988447804717,0.08339037189139864,-0.013318534961154205,0.06780956540729433
125,2014-06,95.55,98.21,0.0061071917447614865,0.08222901800883431,0.0042949176807443035,0.0612708018154311
126,2014-07,97.18,100.95,0.017059131344845824,0.07881882770870341,0.027899399246512635,0.06196086682095525
127,2014-08,97.5,101.54,0.0032928586128833093,0.07001755926251096,0.0058444774640911135,0.04648046995774502
128,2014-09,97.84,101.54,0.0034871794871795814,0.07682148360114471,0.0,0.06469539687532766
129,2014-10,98.04,101.34,0.0020441537203597093,0.0581759309228278,-0.001969667126255681,0.04398887400844753
130,2014-11,97.54,100.85,-0.005099959200326354,0.03965039437220219,-0.004835208209986286,0.010824897263706612
131,2014-12,96.56,98.53,-0.010047160139429967,0.04298984661914029,-0.023004462072384713,0.02539286085961079
132,2015-01,96.64,98.04,0.0008285004142500885,0.03880468666021719,-0.004973104638181236,0.021356391290759502
133,2015-02,95.74,96.07,-0.009312913907284837,0.03234850118611177,-0.020093839249286094,0.01190225405519274
134,2015-03,95.96,96.59,0.0022978901190724432,0.0248851863718893,0.005412719891745743,-0.004842365547084282
135,2015-04,97.23,98.07,0.013234681117132219,0.021109010712035303,0.015322497152914227,-0.010493391181515599
136,2015-05,97.97,99.96,0.007610819705851979,0.03158892281773196,0.01927194860813697,0.02219040801717953
137,2015-06,98.57,100.58,0.006124323772583429,0.03160648874934591,0.006202480992397064,0.02413196212198354
138,2015-07,99.07,100.62,0.005072537283149048,0.019448446182341872,0.00039769337840533936,-0.00326894502228825
139,2015-08,99.24,100.97,0.0017159584132431238,0.017846153846153845,0.0034784337109918795,-0.005613551309828657
140,2015-09,99.14,100.46,-0.0010076582023377245,0.013286999182338555,-0.005051005249083973,-0.010636202481780654
141,2015-10,99.62,100.92,0.004841638087552891,0.016115871073031363,0.004578936890304641,-0.00414446417998815
